ticker,start_date,end_date,period_months,cumulative_return,sp500_return,abnormal_return,sue,surprise,reported_eps,eps_estimate
PLTR,8/6/24,9/6/24,1,0.1524,0.0418,0.1105,1.009,0.01,0.09,0.08
PLTR,8/6/24,10/6/24,2,0.5201,0.1081,0.412,1.009,0.01,0.09,0.08
PLTR,8/6/24,11/6/24,3,1.1098,0.143,0.9668,1.009,0.01,0.09,0.08
PLTR,5/7/24,6/7/24,1,0.0812,0.0325,0.0486,0,0,0.08,0.08
PLTR,5/7/24,7/7/24,2,0.263,0.0759,0.1871,0,0,0.08,0.08
PLTR,5/7/24,8/7/24,3,0.2208,0.0061,0.2147,0,0,0.08,0.08
PLTR,2/6/24,3/6/24,1,0.1085,0.0234,0.0851,0,0,0.08,0.08
PLTR,2/6/24,4/6/24,2,-0.0271,0.044,-0.0712,0,0,0.08,0.08
PLTR,2/6/24,5/6/24,3,0.0682,0.0403,0.0279,0,0,0.08,0.08
PLTR,11/3/23,12/3/23,1,0.0933,0.0537,0.0396,1.009,0.01,0.07,0.06
PLTR,11/3/23,1/3/24,2,-0.1321,0.0803,-0.2125,1.009,0.01,0.07,0.06
PLTR,11/3/23,2/3/24,3,-0.082,0.1392,-0.2212,1.009,0.01,0.07,0.06
PLTR,8/8/23,9/8/23,1,-0.0079,-0.0005,-0.0074,0,0,0.05,0.05
PLTR,8/8/23,10/8/23,2,0.0892,-0.033,0.1221,0,0,0.05,0.05
PLTR,8/8/23,11/8/23,3,0.2125,-0.0156,0.2281,0,0,0.05,0.05
PLTR,5/9/23,6/9/23,1,0.5111,0.0413,0.4698,1.009,0.01,0.05,0.04
PLTR,5/9/23,7/9/23,2,0.5433,0.0662,0.4771,1.009,0.01,0.05,0.04
PLTR,5/9/23,8/9/23,3,0.5342,0.0837,0.4505,1.009,0.01,0.05,0.04
SOFI,1/28/25,2/28/25,1,-0.0951,-0.0127,-0.0824,0.7255,0.01,0.05,0.04
SOFI,1/28/25,3/28/25,2,-0.2589,-0.0739,-0.185,0.7255,0.01,0.05,0.04
SOFI,1/28/25,4/28/25,3,-0.2552,-0.0651,-0.1901,0.7255,0.01,0.05,0.04
SOFI,10/30/24,11/30/24,1,0.4691,0.0596,0.4095,0.7255,0.01,0.05,0.04
SOFI,10/30/24,12/30/24,2,0.3993,0.0379,0.3614,0.7255,0.01,0.05,0.04
SOFI,10/30/24,1/30/25,3,0.4718,0.0676,0.4042,0.7255,0.01,0.05,0.04
SOFI,4/30/24,5/30/24,1,-0.0014,0.0445,-0.0459,0.7255,0.01,0.02,0.01
SOFI,4/30/24,6/30/24,2,-0.0448,0.0912,-0.136,0.7255,0.01,0.02,0.01
SOFI,4/30/24,7/30/24,3,0.0723,0.0867,-0.0145,0.7255,0.01,0.02,0.01
